frame.number|frame.time|frame.time_delta|frame.time_relative|eth.src_resolved|eth.dst_resolved|eth.src|eth.dst|eth.type|ip.version|ip.hdr_len|ip.len|ip.id|ip.flags.df|ip.flags.mf|ip.flags.rb|ip.flags.sf|ip.dsfield.dscp|ip.dsfield.ecn|ip.tos|ip.ttl|ip.proto|ip.src|ip.dst|udp.srcport|udp.dstport|udp.length|tcp.flags.cwr|tcp.flags.ecn|tcp.flags.urg|tcp.flags.ack|tcp.flags.push|tcp.flags.reset|tcp.flags.syn|tcp.flags.fin|tcp.flags.res|tcp.flags.ns|tcp.payload|tcp.len|frame.len
1|Feb 24, 2020 16:22:12.004807000 CST|0.000000000|0.000000000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|102|0x00008d3d|1|0|0||0|0||64|6|192.168.143.43|52.196.247.117||||0|0|0|1|1|0|0|0|0|0|170303002daae8516db6c4587370b4238538d5b6fff10cf06ad2486b61ddf9d341ec2ce1e4024d1180e793a6ed01399f8928|50|116
2|Feb 24, 2020 16:22:12.154303000 CST|0.149496000|0.149496000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000800|4|20|98|0x0000e10c|1|0|0||0|0||38|6|52.196.247.117|192.168.143.43||||0|0|0|1|1|0|0|0|0|0|1703030029000000000000003500ff665398e3e2cfc5c75ec30e2526d676069c483cb6317eed6c82ae97a01fb6a9|46|112
3|Feb 24, 2020 16:22:12.158062000 CST|0.003759000|0.153255000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|52|0x00008d3e|1|0|0||0|0||64|6|192.168.143.43|52.196.247.117||||0|0|0|1|0|0|0|0|0|0||0|66
4|Feb 24, 2020 16:22:15.854588000 CST|3.696526000|3.849781000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|293|0x000036db|1|0|0||0|0||64|6|192.168.143.43|52.14.6.98||||0|0|0|1|1|0|0|0|0|0|17030300ec000000000000007e89c2b250b88a09b300e2541359141414e9c2efaf2ab812a26bd38d051403b2b04f421657855a2b102449f53f69b5b0dcbc86fe010d02ac666b3ee1203f569f9edb0824837489769bb1fbdf817b8630c193fa304481f824bfc4ac3b9c48bf3ea74d85b1525e1c9d7555f96f84c48ecfc67150d153512796cfad55563578e6606a040d246b74ea5a89206ba3dcfda2b27b4085221ba1cb6eb366915de0a3bcdf5a4b390699125e78d58f4a0e1c69755ee7cf2a2c86bb4f47a7e0955466fe07a437f18bb2dc63261491d4fe768f14ec4b1aa0312f9d06b059adb043445571feb8c280c169c0|241|307
5|Feb 24, 2020 16:22:15.915479000 CST|0.060891000|3.910672000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000800|4|20|52|0x0000349f|1|0|0||0|0||226|6|52.14.6.98|192.168.143.43||||0|0|0|1|0|0|0|0|0|0||0|66
6|Feb 24, 2020 16:22:15.921937000 CST|0.006458000|3.917130000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|160|0x000036dc|1|0|0||0|0||64|6|192.168.143.43|52.14.6.98||||0|0|0|1|1|0|0|0|0|0|1703030067000000000000007fc48e1f218bb136d8221ebaa698429840a656fc9c20eba2310466e9cbce312a9d8791fa98a6d0f0ae80d8adcef854e63377f9ae8128eed3327cff1b7f1f59253fd6b2f221a973d6722edf2231afafeeb2d227cd0ab246de75dc38a9e50d9c67|108|174
7|Feb 24, 2020 16:22:15.941897000 CST|0.019960000|3.937090000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000800|4|20|52|0x000034a0|1|0|0||0|0||226|6|52.14.6.98|192.168.143.43||||0|0|0|1|0|0|0|0|0|0||0|66
8|Feb 24, 2020 16:22:17.297791000 CST|1.355894000|5.292984000|Wisol_39:25:6e|Broadcast|70:2c:1f:39:25:6e|ff:ff:ff:ff:ff:ff|0x00000806|||||||||||||||||||||||||||||||60
9|Feb 24, 2020 16:22:17.297917000 CST|0.000126000|5.293110000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000806|||||||||||||||||||||||||||||||42
10|Feb 24, 2020 16:22:21.132441000 CST|3.834524000|9.127634000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000806|||||||||||||||||||||||||||||||42
