frame.number|frame.time|frame.time_delta|frame.time_relative|eth.src_resolved|eth.dst_resolved|eth.src|eth.dst|eth.type|ip.version|ip.hdr_len|ip.len|ip.id|ip.flags.df|ip.flags.mf|ip.flags.rb|ip.flags.sf|ip.dsfield.dscp|ip.dsfield.ecn|ip.tos|ip.ttl|ip.proto|ip.src|ip.dst|udp.srcport|udp.dstport|udp.length|tcp.flags.cwr|tcp.flags.ecn|tcp.flags.urg|tcp.flags.ack|tcp.flags.push|tcp.flags.reset|tcp.flags.syn|tcp.flags.fin|tcp.flags.res|tcp.flags.ns|tcp.payload|tcp.len|frame.len
1|Feb 24, 2020 16:28:12.024299000 CST|0.000000000|0.000000000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|102|0x00008d4f|1|0|0||0|0||64|6|192.168.143.43|52.196.247.117||||0|0|0|1|1|0|0|0|0|0|170303002daae8516db6c4587c7f4eb9187f223b6b6dbe9a6e76e69a5b6bc62c42ce7de4997e817e9c406130d3cca6dff1ea|50|116
2|Feb 24, 2020 16:28:12.173453000 CST|0.149154000|0.149154000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000800|4|20|98|0x0000e115|1|0|0||0|0||38|6|52.196.247.117|192.168.143.43||||0|0|0|1|1|0|0|0|0|0|1703030029000000000000003e6d0e44d9dd7839d1467453740a3bbe22c1634fbbe9e88f934a3a66902b7ce4d741|46|112
3|Feb 24, 2020 16:28:12.177128000 CST|0.003675000|0.152829000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|52|0x00008d50|1|0|0||0|0||64|6|192.168.143.43|52.196.247.117||||0|0|0|1|0|0|0|0|0|0||0|66
4|Feb 24, 2020 16:28:17.314978000 CST|5.137850000|5.290679000|Wisol_39:25:6e|Broadcast|70:2c:1f:39:25:6e|ff:ff:ff:ff:ff:ff|0x00000806|||||||||||||||||||||||||||||||60
5|Feb 24, 2020 16:28:17.315077000 CST|0.000099000|5.290778000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000806|||||||||||||||||||||||||||||||42
6|Feb 24, 2020 16:28:25.888893000 CST|8.573816000|13.864594000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|116|0x000036ed|1|0|0||0|0||64|6|192.168.143.43|52.14.6.98||||0|0|0|1|1|0|0|0|0|0|170303003b00000000000000898823958764fb39939066aac3e5cb3019fedfeb2fe3e905717ce035a66431161c35afaadb1623b1c47fab2b9ce3e2335908607d|64|130
7|Feb 24, 2020 16:28:25.909110000 CST|0.020217000|13.884811000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000800|4|20|91|0x000034ab|1|0|0||0|0||226|6|52.14.6.98|192.168.143.43||||0|0|0|1|1|0|0|0|0|0|17030300220000000000000054e998d1e15a74aa3bf9a609ae8107b2c89af765ea23627c3e17cf|39|105
8|Feb 24, 2020 16:28:25.913558000 CST|0.004448000|13.889259000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|52|0x000036ee|1|0|0||0|0||64|6|192.168.143.43|52.14.6.98||||0|0|0|1|0|0|0|0|0|0||0|66
9|Feb 24, 2020 16:28:27.867110000 CST|1.953552000|15.842811000|Wisol_39:25:6e|IPv4mcast_fb|70:2c:1f:39:25:6e|01:00:5e:00:00:fb|0x00000800|4|20|229|0x0000f484|1|0|0||0|0||255|17|192.168.143.43|224.0.0.251|5353|5353|209|||||||||||||243
10|Feb 24, 2020 16:28:28.875806000 CST|1.008696000|16.851507000|Wisol_39:25:6e|IPv4mcast_fb|70:2c:1f:39:25:6e|01:00:5e:00:00:fb|0x00000800|4|20|229|0x0000f547|1|0|0||0|0||255|17|192.168.143.43|224.0.0.251|5353|5353|209|||||||||||||243
11|Feb 24, 2020 16:28:31.051963000 CST|2.176157000|19.027664000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000806|||||||||||||||||||||||||||||||42
12|Feb 24, 2020 16:28:31.113680000 CST|0.061717000|19.089381000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000806|||||||||||||||||||||||||||||||60
13|Feb 24, 2020 16:28:37.316657000 CST|6.202977000|25.292358000|Wisol_39:25:6e|Broadcast|70:2c:1f:39:25:6e|ff:ff:ff:ff:ff:ff|0x00000806|||||||||||||||||||||||||||||||60
14|Feb 24, 2020 16:28:37.316753000 CST|0.000096000|25.292454000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000806|||||||||||||||||||||||||||||||42
