,feature,LogReg,SVM,RandomForest
0,IAT,0.8092609197485525,0.8717232275248359,0.9169750187383182
1,SIZE,0.788760398269279,0.7920624805370334,0.7919554676623145
2,IAT_SIZE,0.6426620095819888,0.8286754914642871,0.7817026097528833
3,SAMP_NUM,0.5296777328511841,0.8791429649484841,0.8822823495994158
4,SAMP_SIZE,0.5303272315991671,0.9707798739227264,0.9754733238505372
5,STATS,0.5310959575490816,0.9892563140261756,0.9881738422821648
6,FFT-IAT,0.8101096939395096,0.8723614993720863,0.9172162788667644
7,FFT-IAT_SIZE,0.6587960516761653,0.8281456596287292,0.7654928542016671
8,FFT-SIZE,0.7909037996467865,0.7917800327678242,0.7919058189313462
9,FFT-SAMP_NUM,0.5317220255228101,0.8780662189027617,0.8794753020408135
10,FFT-SAMP_SIZE,0.5304749081673635,0.9737919111672836,0.978022659564864
